topology,mixing_strategy,num_nodes,seed,k_target,node_id,total_samples,class_0_count,class_1_count,class_2_count,class_3_count,class_4_count,class_5_count,class_6_count,class_7_count,class_8_count,class_9_count
WS,uniform,30,42,4,4,1736,117,410,24,294,504,164,109,36,12,66
WS,uniform,30,42,4,5,1168,117,70,36,107,173,295,190,103,71,6
WS,uniform,30,42,4,6,2853,536,204,273,711,152,13,9,114,136,705
WS,uniform,30,42,4,7,2866,802,78,292,263,339,337,281,173,4,297
WS,uniform,30,42,4,8,1690,309,96,252,4,1,203,252,59,482,32
WS,uniform,30,42,4,9,1876,275,59,93,419,45,423,89,275,68,130
WS,uniform,30,42,4,10,658,221,82,42,21,141,58,53,20,6,14
WS,uniform,30,42,4,11,2246,35,103,196,30,252,423,21,155,1025,6
WS,uniform,30,42,4,12,1342,12,248,149,263,137,23,239,184,76,11
WS,uniform,30,42,4,13,2215,228,139,294,396,37,122,228,44,424,303
WS,uniform,30,42,4,14,2486,253,560,131,153,549,53,207,330,123,127
WS,uniform,30,42,4,15,2702,9,8,93,67,82,493,1148,181,221,400
WS,uniform,30,42,4,16,1955,511,136,79,86,320,288,205,195,56,79
WS,uniform,30,42,4,17,1728,18,171,53,83,458,6,346,131,141,321
WS,uniform,30,42,4,18,1361,66,492,70,78,88,2,33,453,61,18
WS,uniform,30,42,4,19,1916,216,9,22,55,385,81,96,224,612,216
WS,uniform,30,42,4,20,1065,36,166,96,186,256,37,87,91,13,97
WS,uniform,30,42,4,21,1988,11,374,9,457,484,235,233,51,65,69
WS,uniform,30,42,4,22,1506,78,54,46,72,59,257,108,14,454,364
WS,uniform,30,42,4,23,2719,282,406,310,41,553,672,278,34,132,11
WS,uniform,30,42,4,24,3364,104,4,89,361,14,717,317,929,186,643
WS,uniform,30,42,4,25,2210,205,257,248,269,325,254,9,98,214,331
WS,uniform,30,42,4,26,2444,168,526,285,528,118,1,276,432,15,95
WS,uniform,30,42,4,27,1686,4,208,196,36,41,105,34,36,4,1022
WS,uniform,30,42,4,28,2802,867,113,719,31,17,170,169,104,563,49
WS,uniform,30,42,4,29,1583,9,9,5,155,102,164,352,611,65,111
BA,uniform,30,42,4,0,1482,144,17,266,411,95,9,105,125,207,103
BA,uniform,30,42,4,1,3317,116,959,833,304,76,179,187,531,46,86
BA,uniform,30,42,4,2,1646,78,27,739,24,67,196,202,203,19,91
BA,uniform,30,42,4,3,1390,173,15,60,95,130,20,137,64,499,197
BA,uniform,30,42,4,4,1736,117,410,24,294,504,164,109,36,12,66
BA,uniform,30,42,4,5,1168,117,70,36,107,173,295,190,103,71,6
BA,uniform,30,42,4,6,2853,536,204,273,711,152,13,9,114,136,705
BA,uniform,30,42,4,7,2866,802,78,292,263,339,337,281,173,4,297
BA,uniform,30,42,4,8,1690,309,96,252,4,1,203,252,59,482,32
BA,uniform,30,42,4,9,1876,275,59,93,419,45,423,89,275,68,130
BA,uniform,30,42,4,10,658,221,82,42,21,141,58,53,20,6,14
BA,uniform,30,42,4,11,2246,35,103,196,30,252,423,21,155,1025,6
BA,uniform,30,42,4,12,1342,12,248,149,263,137,23,239,184,76,11
BA,uniform,30,42,4,13,2215,228,139,294,396,37,122,228,44,424,303
BA,uniform,30,42,4,14,2486,253,560,131,153,549,53,207,330,123,127
BA,uniform,30,42,4,15,2702,9,8,93,67,82,493,1148,181,221,400
BA,uniform,30,42,4,16,1955,511,136,79,86,320,288,205,195,56,79
BA,uniform,30,42,4,17,1728,18,171,53,83,458,6,346,131,141,321
BA,uniform,30,42,4,18,1361,66,492,70,78,88,2,33,453,61,18
BA,uniform,30,42,4,19,1916,216,9,22,55,385,81,96,224,612,216
BA,uniform,30,42,4,20,1065,36,166,96,186,256,37,87,91,13,97
BA,uniform,30,42,4,21,1988,11,374,9,457,484,235,233,51,65,69
BA,uniform,30,42,4,22,1506,78,54,46,72,59,257,108,14,454,364
BA,uniform,30,42,4,23,2719,282,406,310,41,553,672,278,34,132,11
BA,uniform,30,42,4,24,3364,104,4,89,361,14,717,317,929,186,643
BA,uniform,30,42,4,25,2210,205,257,248,269,325,254,9,98,214,331
BA,uniform,30,42,4,26,2444,168,526,285,528,118,1,276,432,15,95
BA,uniform,30,42,4,27,1686,4,208,196,36,41,105,34,36,4,1022
BA,uniform,30,42,4,28,2802,867,113,719,31,17,170,169,104,563,49
BA,uniform,30,42,4,29,1583,9,9,5,155,102,164,352,611,65,111
